,NODE,COUNTS
1,優惠活動/折扣/集點,13736
0,麵包/漢堡/蛋糕,4407
4,其他料理,2470
2,壽司/飯糰,2168
14,生鮮蔬菜,1966
5,現沖咖啡,1839
3,洋芋類零食,1619
6,奶茶,1266
10,其他飲料,1000
7,堅果/穀物飲,981
8,泡麵/快煮麵/沖泡飯,977
9,蛋捲/夾心餅/蛋黃派,774
16,綠茶,759
15,鮮奶,664
12,紅茶,610
22,火鍋料,529
20,碳酸飲料,510
28,生鮮水果,495
11,蔬果汁/茶,476
21,瓶/罐裝咖啡,467
18,乳製風味飲品,445
17,雞料理,436
25,生豬肉,434
19,其他飯食,395
23,茶葉蛋,374
13,冰淇淋/冰棒/剉冰,368
46,沙拉,320
29,豆皮/豆腐,300
30,無法分類,289
35,瓶/罐裝多多,277
32,糖果,277
40,沾拌醬,238
42,鮮蛋,232
38,啤酒,231
24,運動飲料,225
26,義大利麵,212
27,巧克力,202
31,鹼性水,184
33,優酪乳/優格,180
34,冷麵,161
36,口香糖/薄荷糖,137
37,堅果類零食,134
39,烏龍茶,128
41,其他零食,122
43,蘇打餅/煎餅/方塊酥,116
44,氣泡水,113
45,熱狗/香腸,113
47,料理塊/包/罐,106
48,衛生紙/面紙,104
49,點心麵,104
50,包裝/提袋/清潔袋,101
51,能量飲料,99
52,調酒/果實酒,98
